   2.1000000e+01   7.4000000e+01   3.9000000e+01   6.8000000e+01   6.0333333e+01
   1.0000000e+00   4.6000000e+01   6.6000000e+01   7.7000000e+01   6.3000000e+01
   8.0000000e+00   6.5000000e+01   5.4000000e+01   7.2000000e+01   6.3666667e+01
   1.5000000e+01   5.3000000e+01   5.3000000e+01   8.6000000e+01   6.4000000e+01
   3.0000000e+00   8.4000000e+01   8.3000000e+01   2.6000000e+01   6.4333333e+01
   2.8000000e+01   9.5000000e+01   3.3000000e+01   6.7000000e+01   6.5000000e+01
   2.6000000e+01   4.0000000e+01   8.1000000e+01   7.6000000e+01   6.5666667e+01
   3.0000000e+01   1.7000000e+01   8.6000000e+01   9.9000000e+01   6.7333333e+01
   2.9000000e+01   4.4000000e+01   8.3000000e+01   7.7000000e+01   6.8000000e+01
   2.5000000e+01   8.9000000e+01   3.9000000e+01   7.7000000e+01   6.8333333e+01
   1.3000000e+01   9.3000000e+01   9.7000000e+01   1.9000000e+01   6.9666667e+01
   1.2000000e+01   7.6000000e+01   6.3000000e+01   7.7000000e+01   7.2000000e+01
